config_id,trace_state,window_start,window_end,W,tile_size,cohort_size,grouping_method,num_cohorts,regular_feature_planes,delta_feature_planes,absent_feature_planes,regular_slots,regular_true_nnz,regular_holes,delta_active_nnz,initial_mask_bits,transition_dense_bits,transition_sparse_bytes,flip_count,total_nnz,dense_bytes,independent_bitmap_bytes,phase0_mosaic_bytes,mosaic_delta_bytes,selected_bytes,selected_representation,byte_ratio_to_best_baseline,proxy_cycles_rho1_10,proxy_cycles_rho1_25,proxy_cycles_rho1_50,proxy_cycles_rho1_75,proxy_speedup_rho1_10,proxy_speedup_rho1_25,proxy_speedup_rho1_50,proxy_speedup_rho1_75,rho_delta_max_for_1x,rho_delta_max_for_1_15x,rho_delta_max_for_1_25x,grouping_objective,cluster_iterations,exact_decode_pass
cora_resgcn16,trained,12,15,4,128,32,rcm_contiguous_window,85,483,4408,549,61344,56017,5327,153604,140776,229712,8752,108215,209621,2772992,1385600,1119680,953088,953088,mosaic_delta,0.6878521939953811,245919.12800000003,268959.728,292073.248,292073.248,1.7047962206502292,1.5587538071870746,1.4354002048143757,1.4354002048143757,2.232887945626416,1.8768832899505563,1.687014140256764,268266.48,0,True
cora_resgcn16,trained,12,15,4,128,32,first_layer_rcm_cost_reused,85,594,3766,1080,75552,72308,3244,137313,120232,185616,7213,109025,209621,2772992,1385600,1039872,934208,1039872,phase0_mosaic,0.7504849884526559,240844.02800000002,256531.248,256531.248,256531.248,1.7407199318224322,1.6342726403451637,1.6342726403451637,1.6342726403451637,2.4042553873267645,2.0060138578981253,1.7936183755361834,260747.73,0,True
cora_resgcn16,trained,12,15,4,128,32,window_cost_cluster,85,594,3766,1080,75552,72308,3244,137313,120232,185616,7213,109025,209621,2772992,1385600,1039872,934208,1039872,phase0_mosaic,0.7504849884526559,240844.02800000002,256531.248,256531.248,256531.248,1.7407199318224322,1.6342726403451637,1.6342726403451637,1.6342726403451637,2.4042553873267645,2.0060138578981253,1.7936183755361834,260747.73,1,True
cora_resgcn16,trained,12,15,4,128,32,window_global_oracle,85,654,3424,1362,83376,81204,2172,128417,109296,161224,6462,109539,209621,2772992,1385600,1002688,925056,1002688,phase0_mosaic,0.7236489607390301,238151.428,239663.248,239663.248,239663.248,1.7604009496008564,1.7492961624220331,1.7492961624220331,1.7492961624220331,2.5155744177172807,2.0897449782315833,1.862635943839211,256720.73,0,True
cora_resgcn16,random_init,4,7,4,128,32,window_cost_cluster,85,2973,2421,46,378816,370062,8754,171446,77256,164216,2933,118653,541508,2772992,2672192,2352128,2270464,2352128,phase0_mosaic,0.8802241755083468,570129.248,570129.248,570129.248,570129.248,1.2159488439365242,1.2159488439365242,1.2159488439365242,1.2159488439365242,1.7658885013356977,1.2384708177856993,0.9571813865590333,604800.98,4,True
cora_resgcn16,random_init,8,11,4,128,32,window_cost_cluster,85,3893,1523,24,496048,487000,9048,88777,48600,95752,2172,67412,575777,2772992,2772992,2485248,2393856,2485248,phase0_mosaic,0.8962333825701625,600019.248,600019.248,600019.248,600019.248,1.1553762688626281,1.1553762688626281,1.1553762688626281,1.1553762688626281,2.110451130360341,1.0919029458766014,0.5486772474852724,616859.73,5,True
cora_resgcn16,random_init,12,15,4,128,32,window_cost_cluster,85,3712,1727,1,472928,467392,5536,104251,55120,109160,2222,65313,571643,2772992,2772672,2453120,2367680,2453120,phase0_mosaic,0.8847494402511368,593387.248,593387.248,593387.248,593387.248,1.1682893461842645,1.1682893461842645,1.1682893461842645,1.1682893461842645,2.015429300438365,1.1480644581451214,0.6854698755887236,613451.23,5,True
pubmed_gcnii16,trained,4,7,4,128,32,random_balanced_window,617,15046,24124,318,1921136,1791860,129276,1388502,771776,290592,103164,94602,3180362,20190208,16000640,16449600,13743616,13743616,mosaic_delta,0.8589416423343066,3539537.2720000003,3747812.572,4094938.072,4396744.552,1.4260485515802754,1.3467994738345201,1.2326320719020631,1.1480203000886098,2.189708390769333,1.7155453374744243,1.4626583757171399,3742765.02,0,True
pubmed_gcnii16,trained,4,7,4,128,32,rcm_contiguous_window,617,17421,21230,837,2225136,2121720,103416,1058642,679168,312576,85688,93944,3180362,20190208,16000640,15762176,13606400,13606400,mosaic_delta,0.8503659853605856,3476680.2720000003,3635476.572,3900137.072,4142162.552,1.4518309436307002,1.3884154938242852,1.2941986157967527,1.218578927464554,2.588623425104993,1.9667169186315232,1.6350334485123394,3630429.02,0,True
pubmed_gcnii16,trained,4,7,4,128,32,first_layer_rcm_cost_reused,617,20936,15870,2682,2675056,2609601,65455,570761,507648,339552,61612,96787,3180362,20190208,16000640,14709504,13407744,13407744,mosaic_delta,0.8379504819807208,3383323.1720000003,3468937.322,3611627.572,3694280.552,1.4918917713131779,1.4550715482774583,1.3975837484275357,1.3663152889856645,4.024650387815566,2.8711441955107535,2.255940892948187,3463889.77,0,True
