config_id,model_valid,segment_start,segment_end,W,method,panel_builder,panel_width,number_of_panels,topology_tile_rows,rho_residual,escape_enabled,total_nnz,dense_panel_slots,dense_panel_true_nnz,dense_panel_holes,residual_nnz,panel_feature_metadata_bits,row_list_metadata_bits,residual_metadata_bits,descriptor_bits,dense_value_bytes,residual_value_bytes,total_transfer_bytes,byte_ratio_to_dense,byte_ratio_to_R0,byte_ratio_to_phase0,byte_ratio_to_phase2_anchor,regular_scalesim_cycles,residual_cycles,gather_cycles,decoder_cycles,output_init_cycles,output_add_cycles,weight_pack_cycles,total_hybrid_cycles,hybrid_speedup_vs_dense,independently_decodable,deployable,exact_decode_pass,numeric_equivalence_pass
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P0_CONTIGUOUS,32,2,128,1.5,True,11060089,16400384,11056879,5343505,3210,1024,40050,64272,14046,65601536,13568,65630144,1.0001823884894332,0.9590949180093284,0.8725117220226142,0.6447762165359241,4896892.0,4815.0,512512.0,5008.0,512642,512642,128,6468739.0,0.7592053103394649,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,32,2,128,1.5,True,11060089,14200896,10686821,3514075,373268,1024,39930,2610984,14046,56794368,1545216,58672896,0.8941561557578193,0.8574242405820388,0.78001946064622,0.5764254897274911,4241010.0,559902.0,443778.0,44357.0,512642,512642,128,6201346.0,0.7919411366500111,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,32,2,128,1.5,True,11060089,14257760,10752439,3505321,307650,1024,39810,2157870,14046,57022592,1281920,58581184,0.8927584942318421,0.8560839949607513,0.778800206959223,0.5755244751514611,4272935.0,461475.0,445555.0,37266.0,512642,501402,128,6133071.0,0.8007572389101643,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,32,2,128,1.5,False,11060089,14244672,10767326,3477346,292763,1024,39810,2072328,10016,56978688,1223232,58467392,0.8910243405729534,0.8544210802959576,0.7772874134801717,0.5744065380152565,4271748.0,439144.5,445146.0,35899.0,512642,495032,128,6106715.5,0.8042131649984349,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P3_COST_AWARE,32,2,128,1.5,True,11060089,14244064,10767135,3476929,292954,1024,39810,2072771,14046,56968576,1224064,58458688,0.8908916943988202,0.854293883223735,0.777171699243304,0.5743210265132747,4271223.0,439431.0,445127.0,35906.0,512642,495030,128,6106671.0,0.8042190253904296,True,True,True,True
pubmed_gcnii16,True,4,16,13,MOSAIC_PANEL_ESCAPE,P4_FIXED_BSR,32,2,128,1.5,True,11060089,5584384,4610991,973393,6449098,1024,20596,14083932,14046,22337536,25909376,50011968,0.7621663851186598,0.7308566068123384,0.6648778390829049,0.49133714392818806,2241499.0,9673647.0,174512.0,224015.0,512642,512642,128,12683613.0,0.38720047670959373,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P0_CONTIGUOUS,4,32,128,1.5,True,2116594,0,0,0,2116594,2048,6944,4471841,32736,0,8740864,9305152,0.5162517043517783,0.7960545767129138,0.6852636094980346,0.591293774584968,0.0,3174891.0,0.0,79071.0,140816,3960180,512,3269450.0,0.6364709660646286,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P1_DENSITY_SORTED,4,32,128,1.5,True,2116594,0,0,0,2116594,2048,6944,4157513,32736,0,8731008,9256000,0.513524741506647,0.791849629329508,0.6816438860443986,0.5881704218865489,0.0,3174891.0,0.0,73833.0,140816,3584596,512,3264212.0,0.6374922952308245,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_ESCAPE,P2_CORRELATION,4,32,128,1.5,True,2116594,0,0,0,2116594,2048,6944,4107288,32736,0,8734208,9252928,0.5133543063288263,0.7915868201180452,0.6814176533285463,0.5879752123428976,0.0,3174891.0,0.0,72840.0,140816,2916308,512,3263219.0,0.637686284616509,True,True,True,True
cora_deepres28_w128,True,4,16,13,MOSAIC_PANEL_NO_ESCAPE,P3_COST_AWARE,4,32,128,1.5,False,2116594,0,0,0,2116594,2048,6944,4105552,23584,0,8733952,9251328,0.5132655380070447,0.7914499403204083,0.68129982378904,0.5878735407055793,0.0,3174891.0,0.0,72808.0,140816,2899020,512,3263187.0,0.6376925380004272,True,True,True,True
