config_id,segment_start,W,panel_builder,panel_width,mean_within_panel_jaccard,median_within_panel_jaccard,mean_cross_panel_jaccard,panel_similarity_separation,mean_selected_rows_per_panel,mean_row_panel_occupancy,p10_row_panel_occupancy,p50_row_panel_occupancy,p90_row_panel_occupancy,dense_nnz_capture,padding_fraction,residual_fraction,cost_before_swaps,cost_after_swaps,accepted_swaps
pubmed_gcnii16,4,13,P3_COST_AWARE,16,0.7574371359874159,0.8111260584772328,0.5285547926236092,0.22888234336380675,99.06290322580645,0.7184565164962529,0.0,0.8044809194711539,0.960425002804682,0.9373014991109023,0.1866210775673762,0.06269850088909773,9605843.5,9516797.5,2
pubmed_gcnii16,4,13,P4_FIXED_BSR,16,0.5790138986808188,0.5474748757504986,0.5843120542819208,-0.005298155601102028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16876201.5,16876201.5,0
pubmed_gcnii16,4,13,P0_CONTIGUOUS,32,0.5849015324766366,0.5593550962833151,0.5812574868427733,0.0036440456338632243,127.1741935483871,0.6698345780668424,0.5562913161057692,0.6668795072115384,0.8127140925480769,0.9997097672541333,0.32581584675090536,0.0002902327458666924,6468739.0,6468739.0,0
pubmed_gcnii16,4,13,P1_DENSITY_SORTED,32,0.7018158397417684,0.7560303729857943,0.4679967516796769,0.2338190880620915,110.13870967741936,0.725019519020116,0.4809888414055081,0.7642916165865385,0.9112473707932692,0.9662509044909132,0.2474544563948641,0.03374909550908677,6201346.0,6201346.0,0
pubmed_gcnii16,4,13,P2_CORRELATION,32,0.7265559944756342,0.7675887910806094,0.44402972678124436,0.2825262676943899,110.57741935483871,0.7263237449060438,0.4618886514719848,0.7674989473898979,0.9374023437500001,0.9721837681414679,0.24585355623884816,0.02781623185853206,6133071.0,6133071.0,0
pubmed_gcnii16,4,13,P3_COST_AWARE,32,0.7318400019333949,0.768852485108462,0.4389108445565387,0.2929291573768562,110.45806451612903,0.728430583554265,0.4616304605887939,0.7652095204178537,0.9398963341346154,0.9735297790099158,0.24411555422265954,0.026470220990084257,6133071.0,6106671.0,2
pubmed_gcnii16,4,13,P3_COST_AWARE,32,0.7318400019333949,0.768852485108462,0.4389108445565387,0.2929291573768562,110.47096774193548,0.7284307594682419,0.4616304605887939,0.7652095204178537,0.9398963341346154,0.9735125097094608,0.24409669880730667,0.026487490290539255,6133071.0,6106671.0,2
pubmed_gcnii16,4,13,P4_FIXED_BSR,32,0.5849015324766366,0.5593550962833151,0.5812574868427733,0.0036440456338632243,43.303225806451614,0.6226849479905175,0.0,0.7953725961538461,0.8621780563186813,0.4169036071952043,0.17430624398322178,0.5830963928047957,12683613.0,12683613.0,0
cora_deepres28_w128,4,13,P0_CONTIGUOUS,4,0.2955390548862431,0.27592458243077195,0.2861643242245075,0.009374730661735609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3269450.0,3269450.0,0
cora_deepres28_w128,4,13,P1_DENSITY_SORTED,4,0.357732789123926,0.34937651351966537,0.28465963710585385,0.07307315201807213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3264212.0,3264212.0,0
