LayerID, Total Cycles (incl. prefetch), Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
467, 981, 547, 0, 15.722120658135283, 50.0, 12.797619047619047,
468, 621, 273, 0, 31.501831501831504, 100.0, 25.595238095238095,
469, 1243, 547, 0, 31.444241316270567, 100.0, 25.595238095238095,
470, 1243, 547, 0, 31.444241316270567, 100.0, 25.595238095238095,
471, 2487, 1095, 0, 31.41552511415525, 100.0, 25.595238095238095,
472, 4713, 2191, 0, 31.401186672752168, 100.0, 25.595238095238095,
473, 625, 275, 0, 4.0, 12.5, 3.2544378698224854,
474, 989, 551, 0, 3.9927404718693285, 12.5, 3.2544378698224854,
475, 625, 275, 0, 8.0, 25.0, 6.508875739644971,
476, 989, 551, 0, 7.985480943738657, 25.0, 6.508875739644971,
477, 625, 275, 0, 16.0, 50.0, 13.017751479289942,
478, 989, 551, 0, 15.970961887477314, 50.0, 13.017751479289942,
479, 625, 275, 0, 32.0, 100.0, 26.035502958579883,
480, 1251, 551, 0, 31.941923774954628, 100.0, 26.035502958579883,
481, 1251, 551, 0, 31.941923774954628, 100.0, 26.035502958579883,
482, 2503, 1103, 0, 31.912964641885765, 100.0, 26.035502958579883,
483, 4745, 2207, 0, 31.89850475758949, 100.0, 26.035502958579883,
484, 629, 277, 0, 4.061371841155235, 12.5, 3.308823529411765,
485, 997, 555, 0, 4.054054054054054, 12.5, 3.308823529411765,
486, 629, 277, 0, 8.12274368231047, 25.0, 6.61764705882353,
487, 997, 555, 0, 8.108108108108109, 25.0, 6.61764705882353,
488, 629, 277, 0, 16.24548736462094, 50.0, 13.23529411764706,
489, 997, 555, 0, 16.216216216216218, 50.0, 13.23529411764706,
490, 629, 277, 0, 32.49097472924188, 100.0, 26.47058823529412,
491, 1259, 555, 0, 32.432432432432435, 100.0, 26.47058823529412,
492, 1259, 555, 0, 32.432432432432435, 100.0, 26.47058823529412,
493, 2519, 1111, 0, 32.4032403240324, 100.0, 26.47058823529412,
494, 4777, 2223, 0, 32.388663967611336, 100.0, 26.47058823529412,
495, 633, 279, 0, 4.121863799283154, 12.5, 3.3625730994152043,
496, 1005, 559, 0, 4.114490161001789, 12.5, 3.3625730994152043,
497, 633, 279, 0, 8.243727598566307, 25.0, 6.725146198830409,
498, 1005, 559, 0, 8.228980322003578, 25.0, 6.725146198830409,
499, 633, 279, 0, 16.487455197132615, 50.0, 13.450292397660817,
500, 1005, 559, 0, 16.457960644007155, 50.0, 13.450292397660817,
